Product_Name,Category,Product_Weight_kg,Fragility_Level
Smartphone,Electronics,0.18,High
Laptop 14-inch,Electronics,1.6,High
Laptop 16-inch,Electronics,2.1,High
Tablet 10-inch,Electronics,0.5,High
Bluetooth Headphones,Electronics,0.25,Medium
Noise Cancelling Headphones,Electronics,0.32,Medium
Power Bank,Electronics,0.35,Medium
LED Monitor 24-inch,Electronics,3.5,High
LED Monitor 27-inch,Electronics,4.8,High
Keyboard,Electronics,0.7,Low
Mechanical Keyboard,Electronics,0.9,Low
Gaming Mouse,Electronics,0.15,Low
External Hard Drive,Electronics,0.2,High
Smartwatch,Electronics,0.08,High
WiFi Router,Electronics,0.4,Medium
Printer,Electronics,6.5,High
Digital Camera,Electronics,0.6,High
Speaker System,Electronics,2.8,Medium
Rice 5kg Bag,Food,5.0,Low
Rice 10kg Bag,Food,10.0,Low
Packaged Biscuits,Food,0.3,Low
Glass Jar Pickle,Food,0.8,High
Frozen Chicken Pack,Food,1.0,Medium
Milk Tetra Pack 1L,Food,1.0,Medium
Milk Powder 1kg,Food,1.0,Low
Breakfast Cereal Box,Food,0.5,Low
Chocolate Gift Box,Food,0.6,Medium
Soft Drink Can,Food,0.35,Medium
Soft Drink 2L Bottle,Food,2.1,Medium
Fresh Apples 2kg,Food,2.0,Medium
Cooking Oil 1L Bottle,Food,0.9,High
Honey Bottle,Food,0.75,High
Tea Packet 500g,Food,0.5,Low
Coffee Jar,Food,0.6,High
Face Cream,Cosmetics,0.2,Medium
Perfume Bottle,Cosmetics,0.35,High
Luxury Perfume Bottle,Cosmetics,0.5,High
Shampoo Bottle,Cosmetics,0.5,Medium
Conditioner Bottle,Cosmetics,0.5,Medium
Lipstick,Cosmetics,0.05,Medium
Makeup Kit,Cosmetics,0.7,High
Body Lotion,Cosmetics,0.4,Medium
Hair Dryer,Cosmetics,0.8,Medium
Beard Trimmer,Cosmetics,0.3,Medium
Nail Polish Bottle,Cosmetics,0.1,High
Skincare Gift Set,Cosmetics,1.2,High
Tablet Strip Box,Pharma,0.1,Low
Syrup Bottle,Pharma,0.25,High
Injection Kit,Pharma,0.15,High
Vitamin Bottle,Pharma,0.3,Medium
Glucose Monitor,Pharma,0.2,High
Medical Thermometer,Pharma,0.12,High
Insulin Pack,Pharma,0.2,High
First Aid Kit,Pharma,0.9,Medium
Cotton T-Shirt,Apparel,0.25,Low
Jeans,Apparel,0.7,Low
Winter Jacket,Apparel,1.4,Low
Running Shoes,Apparel,1.1,Medium
Leather Wallet,Apparel,0.2,Low
Backpack,Apparel,0.9,Medium
Handbag,Apparel,0.8,Medium
Socks Pack,Apparel,0.2,Low
Stainless Steel Pan,Home,1.5,Medium
Ceramic Plate Set,Home,2.5,High
Glass Dinner Set,Home,4.5,High
Table Lamp,Home,1.2,High
Water Bottle (Steel),Home,0.6,Low
Glass Storage Container,Home,1.0,High
Microwave Oven,Home,12.0,High
Mixer Grinder,Home,4.0,Medium
Vacuum Cleaner,Home,7.0,Medium
Electric Drill,Industrial,2.0,Medium
Automotive Spare Part,Industrial,3.5,Medium
Hydraulic Valve,Industrial,4.0,Medium
Steel Bolt Pack,Industrial,1.0,Low
Circuit Board,Industrial,0.3,High
Motor Assembly,Industrial,8.0,Medium
Gearbox Component,Industrial,6.0,Medium
Wooden Chair (Flat Pack),Furniture,12.0,Medium
Study Table (Flat Pack),Furniture,18.0,Medium
Bookshelf (Flat Pack),Furniture,22.0,Medium
Office Desk,Furniture,25.0,Medium
Wall Mirror,Furniture,5.0,High
Toy Car,Toys,0.4,Medium
Board Game Box,Toys,0.8,Low
Action Figure,Toys,0.3,Medium
Drone,Toys,1.2,High
Yoga Mat,Sports,1.1,Low
Dumbbell 5kg,Sports,5.0,Low
Cricket Bat,Sports,1.3,Medium
Football,Sports,0.45,Low
